Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
M & G Securities Limited,M&G PLC,no,2023-01-01 to 2023-06-30,,,,,37.99%,
ManyPets Ltd,NO GROUP,no,2022-10-01 to 2023-03-31,,,,73.53%,,
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,no,2023-01-01 to 2023-06-30,,,,65.88%,,
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2023-01-01 to 2023-06-30,55.02%,,,50.61%,,
Marshmallow Financial Services Ltd,NO GROUP,yes,2023-01-01 to 2023-06-30,,,,44.25%,,
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,48.61%,,,5.90%,,
Metro Bank PLC,METRO BANK PLC,no,2023-01-01 to 2023-06-30,47.65%,,71.52%,,,
Monzo Bank Ltd,MONZO BANK LIMITED,no,2022-09-01 to 2023-02-28,32.56%,,,,,
Moorcroft Debt Recovery Limited,NO GROUP,no,2022-08-01 to 2023-01-31,45.37%,,,,,
MotoNovo Finance Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,28.57%,,
Munich Re Digital Partners Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,56.07%,,
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2023-01-01 to 2023-06-30,76.63%,53.33%,77.91%,47.14%,67.96%,
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2022-10-01 to 2023-04-04,49.50%,25.00%,53.83%,27.80%,37.41%,
Newcastle Building Society,NO GROUP,no,2023-01-01 to 2023-06-30,69.88%,0.00%,41.82%,,100.00%,
Northern Bank Limited,DANSKE BANK A/S,no,2023-01-01 to 2023-06-30,33.27%,,56.12%,,0.00%,
One Call Insurance Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,11.05%,,
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2023-01-01 to 2023-06-30,64.13%,,60.48%,,,
OVO (S) Home Services Limited,SSE PLC,no,2023-01-01 to 2023-06-30,,,,77.82%,,
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2022-10-01 to 2023-03-31,64.37%,,56.27%,,,
People's Administration Services Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,9.25%,,,,
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2023-01-01 to 2023-06-30,,,48.00%,,,
Phoenix Life Assurance Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,76.80%,100.00%,76.99%,86.15%,
Phoenix Life Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,73.12%,100.00%,69.10%,81.99%,
Pinnacle Insurance Plc,BNP PARIBAS GROUP,no,2023-01-01 to 2023-06-30,,,,25.44%,,
Post Office Management Services Limited,POST OFFICE LIMITED,no,2022-10-01 to 2023-03-31,,,,42.44%,,
Prestige Underwriting Services Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,44.69%,,
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,57.31%,,51.29%,25.00%,,
QBE UK Limited,QBE INSURANCE GROUP,no,2023-01-01 to 2023-06-30,,,,66.31%,,
Qmetric Group Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,,22.14%,,
Quilter Investment Platform Limited,QUILTER GROUP,no,2023-01-01 to 2023-06-30,,,,,70.16%,
Quilter Life & Pensions Limited,QUILTER GROUP,no,2023-01-01 to 2023-06-30,,68.94%,,,75.83%,
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2023-01-01 to 2023-06-30,,,,45.45%,,
RBS Collective Investment Funds Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,,99.89%,
ReAssure Life Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,79.37%,,84.43%,82.61%,
ReAssure Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,74.24%,,57.91%,70.59%,
Rock Insurance Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,57.18%,,
Rothesay Life Plc,NO GROUP,no,2023-01-01 to 2023-06-30,,34.54%,,,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2023-01-01 to 2023-06-30,,,,67.30%,,
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2023-01-01 to 2023-06-30,,,,60.36%,,
Saga Services Limited,SAGA PLC,no,2022-08-01 to 2023-01-31,,,,55.42%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2022-09-01 to 2023-02-28,65.73%,,79.49%,62.30%,,
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,2023-01-01 to 2023-06-30,,,,0.00%,,
Santander UK Plc,SANTANDER UK GROUP,no,2023-01-01 to 2023-06-30,46.50%,28.13%,55.65%,23.68%,16.67%,
Scottish Equitable Plc,AEGON N.V.,no,2023-01-01 to 2023-06-30,,57.04%,,34.47%,50.85%,
Scottish Friendly Assurance Society Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,84.01%,,68.41%,70.22%,
Scottish Widows Administration Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,69.75%,,,100.00%,
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,90.64%,,78.85%,89.65%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,,,,73.31%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2023-01-01 to 2023-06-30,40.43%,,0.00%,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2023-01-01 to 2023-06-30,63.62%,,53.04%,,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2023-01-01 to 2023-06-30,,,,65.52%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2023-01-01 to 2023-06-30,,,,34.28%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,76.02%,78.13%,58.68%,,68.04%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2023-01-01 to 2023-06-30,,,,48.73%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,56.81%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2023-01-01 to 2023-06-30,,75.53%,,100.00%,85.00%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2023-01-01 to 2023-06-30,,44.14%,33.33%,25.58%,46.96%,
Standard Life Assurance Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,67.26%,90.00%,55.00%,52.13%,
Standard Life Savings Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,,80.15%,
Starling Bank Limited,NO GROUP,no,2022-10-01 to 2023-03-31,39.18%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2023-01-01 to 2023-06-30,,,,23.16%,,
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,74.93%,,84.97%,77.09%,
Target Servicing Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,39.18%,,,
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,2023-01-01 to 2023-06-30,,,,65.61%,,
Telefonica UK Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,62.96%,,
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),no,2022-09-01 to 2023-02-28,46.12%,,,36.71%,,
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2022-09-01 to 2023-02-28,,,,63.98%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2023-01-01 to 2023-06-30,50.33%,,59.84%,10.20%,,
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,,47.82%,,,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2022-10-01 to 2023-03-31,,,60.41%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2023-01-01 to 2023-06-30,,26.67%,,61.63%,22.77%,
The Prudential Assurance Company Limited,M&G PLC,yes,2023-01-01 to 2023-06-30,,82.46%,59.09%,84.91%,87.77%,
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2023-01-01 to 2023-06-30,78.30%,42.86%,78.29%,60.17%,62.16%,
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,2023-01-01 to 2023-06-30,,62.59%,,52.95%,56.08%,
Topaz Finance Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,54.36%,,,
Triodos Bank UK Limited,NO GROUP,no,2023-01-01 to 2023-06-30,44.80%,,,,44.19%,
TSB Bank plc,BANCO DE SABADELL SA,no,2023-01-01 to 2023-06-30,66.51%,,60.65%,35.90%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2023-01-01 to 2023-06-30,,,,72.96%,,
UK Warranty Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,,29.60%,,
"Vanguard Asset Management, Ltd",NO GROUP,no,2023-01-01 to 2023-06-30,,71.88%,,,55.40%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2023-01-01 to 2023-06-30,35.95%,,,,,
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,2023-01-01 to 2023-06-30,,75.00%,,59.69%,75.00%,
Vodafone Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,,53.80%,,
Wescot Credit Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,30.04%,,,,,
Xbridge Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,39.75%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,70.80%,,63.21%,25.00%,,
Zopa Bank Limited,NO GROUP,no,2023-01-01 to 2023-06-30,52.11%,,,,,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2023-01-01 to 2023-06-30,,35.44%,,50.26%,52.35%,
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,no,2023-01-01 to 2023-06-30,,,,69.25%,,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,72.73%,,54.89%,,,55.21%
Acm Ulr Limited,BGL GROUP,no,2022-07-01 to 2022-12-31,,,,55.45%,,55.45%
Action 365 Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,27.19%,,27.19%
Adrian Flux Insurance Services Group,NO GROUP,no,2022-03-01 to 2022-08-31,,,,17.88%,,17.88%
Advanced Payment Solutions Limited,NO GROUP,no,2022-04-01 to 2022-09-30,19.49%,,,,,19.49%
Advisory Insurance Brokers Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,70.67%,,70.67%
Affinity Insurance Solutions Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,44.72%,,44.72%
Ageas Insurance Limited,AGEAS SA-NV,no,2022-07-01 to 2022-12-31,,,,46.62%,,46.62%
Ageas Retail Limited,AGEAS SA-NV,no,2022-07-01 to 2022-12-31,,,,43.31%,,43.31%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2022-07-01 to 2022-12-31,56.60%,,79.07%,33.33%,100.00%,57.54%
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,no,2022-07-01 to 2022-12-31,,,,56.29%,,56.29%
Al Rayan Bank PLC,MASRAF AL RAYAN Q.P.S.C,no,2022-07-01 to 2022-12-31,39.48%,,35.09%,,,39.07%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2022-07-01 to 2022-12-31,82.18%,,62.75%,,,74.13%
Allianz Insurance Plc,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,75.50%,,75.50%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2022-07-01 to 2022-12-31,44.79%,,,17.65%,,44.69%
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,2022-06-01 to 2022-11-30,,,,64.54%,,64.54%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,2022-07-01 to 2022-12-31,,,,43.43%,,43.43%
Animal Friends Insurance Services Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,35.24%,,35.24%
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,2022-07-01 to 2022-12-31,,,,52.58%,,52.58%
Assurant General Insurance Limited,ASSURANT INC,no,2022-07-01 to 2022-12-31,,,,50.28%,,50.28%
Astrenska Insurance Limited,COLLINSON GROUP,no,2022-05-01 to 2022-10-31,,,,54.65%,,54.65%
Asurion Europe Limited,ASURION,no,2022-07-01 to 2022-12-31,,,,31.39%,,31.39%
ATLANTA 1 INSURANCE SERVICES LIMITED,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,34.67%,,34.67%
Atlanta Insurance Intermediaries Limited,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,39.84%,,39.84%
Atom Bank PLC,NO GROUP,no,2022-04-01 to 2022-09-30,47.85%,,52.57%,,,49.43%
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2022-02-01 to 2022-07-31,,,,37.60%,,37.60%
Avantia Insurance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,75.05%,,75.05%
Aviva Health UK Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,,,34.23%,,34.23%
Aviva Insurance Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,,,61.51%,,61.51%
Aviva Life Services UK Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,66.94%,41.68%,47.54%,68.44%,62.46%
AWP Assistance UK Ltd,ALLIANZ SE,yes,2022-07-01 to 2022-12-31,,,,69.10%,,69.10%
AXA Insurance Designated Activity Company,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,52.82%,,52.82%
AXA Insurance UK Plc,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,64.21%,,64.21%
AXA PPP Healthcare Limited,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,64.06%,,64.06%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2022-07-01 to 2022-12-31,44.97%,,36.42%,5.00%,,43.48%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,70.00%,36.36%,56.80%,12.05%,33.58%,67.32%
Barbon Insurance Group Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,55.45%,,55.45%
Barclays Bank Plc,BARCLAYS PLC,no,2022-07-01 to 2022-12-31,70.90%,,75.00%,,80.00%,70.94%
Barclays Bank UK PLC,BARCLAYS PLC,yes,2022-07-01 to 2022-12-31,66.17%,62.00%,77.43%,28.09%,56.67%,66.98%
Bennetts Motorcycling Services Limited,LUCIDA GROUP,no,2022-07-01 to 2022-12-31,,,,70.64%,,70.64%
BISL Limited,BGL GROUP,no,2022-07-01 to 2022-12-31,,,,44.55%,,44.55%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,40.00%,4.44%,,8.00%
BMW Financial Services(GB) Limited,BMW GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,yes,2022-04-01 to 2022-09-30,,40.00%,41.82%,11.11%,20.00%,38.33%
Brightside Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,44.92%,,44.92%
British Gas Insurance Limited,CENTRICA PLC,no,2022-07-01 to 2022-12-31,,,,95.15%,,95.15%
British Gas Services Limited,CENTRICA PLC,no,2022-07-01 to 2022-12-31,,,,98.79%,,98.79%
BUPA Insurance Services Limited,BUPA GROUP,yes,2022-07-01 to 2022-12-31,,,,58.59%,,58.59%
Cabot Credit Management Group Limited,NO GROUP,no,2022-07-01 to 2022-12-31,23.59%,,59.57%,,,24.02%
Call Assist Ltd,CALL ASSIST LIMITED,no,2022-05-01 to 2022-10-31,,,,41.86%,,41.86%
Canada Life Limited,GREAT-WEST-LIFECO,yes,2022-07-01 to 2022-12-31,,72.92%,,53.03%,46.67%,65.15%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2022-07-01 to 2022-12-31,42.64%,,,16.07%,,42.37%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,yes,2022-07-01 to 2022-12-31,,,,32.40%,,32.40%
Carfinance247 Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,38.89%,,38.89%
Carole Nash Insurance Consultants Ltd,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,41.79%,,41.79%
Cater Allen Limited,SANTANDER UK GROUP,no,2022-07-01 to 2022-12-31,67.35%,,,,,67.35%
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,2022-07-01 to 2022-12-31,28.07%,,42.27%,,,36.24%
Citibank UK Limited,CITIGROUP INC,no,2022-07-01 to 2022-12-31,6.96%,,,,38.24%,7.17%
ClearBank Limited,NO GROUP,no,2022-07-01 to 2022-12-31,59.25%,,,,,59.25%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2022-02-01 to 2022-07-31,56.28%,,,52.94%,,56.00%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2022-04-01 to 2022-09-30,79.52%,,74.74%,50.00%,85.71%,79.26%
Cofunds Limited,AEGON N.V.,no,2022-07-01 to 2022-12-31,,50.00%,,,60.40%,59.80%
Columbia Threadneedle Management Limited,AMERIPRISE FINANCIAL,no,2022-07-01 to 2022-12-31,,,,,30.00%,30.00%
Connells Limited,SKIPTON BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,,,48.61%,50.68%,,48.83%
Corgi Homeplan Ltd,OVO GROUP,no,2022-07-01 to 2022-12-31,,,,76.52%,,76.52%
Coutts & Company,NATWEST GROUP,no,2022-07-01 to 2022-12-31,74.28%,120.00%,71.52%,80.00%,71.21%,74.10%
Covea Insurance plc,COVEA GROUP,yes,2022-07-01 to 2022-12-31,,,,51.75%,,51.75%
Coventry Building Society,NO GROUP,yes,2022-07-01 to 2022-12-31,74.80%,,78.87%,16.67%,,75.37%
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,27.64%,,,,,27.64%
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,36.50%,,,,,36.50%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,2022-07-01 to 2022-12-31,70.33%,,62.50%,,,70.22%
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,no,2022-07-01 to 2022-12-31,,,,67.73%,,67.73%
DAVIES MGA SERVICES LIMITED,NO GROUP,no,2022-07-01 to 2022-12-31,,,,30.56%,,30.56%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2022-04-01 to 2022-09-30,,,,65.44%,,65.44%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2022-04-01 to 2022-09-30,,,43.43%,,,43.43%
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2022-07-01 to 2022-12-31,,22.22%,,,26.96%,26.95%
ERGO TRAVEL INSURANCE SERVICES LTD,ERGO GROUP,no,2022-07-01 to 2022-12-31,,,,71.72%,,71.72%
esure Insurance Limited,ESURE GROUP PLC,yes,2022-07-01 to 2022-12-31,,,,67.71%,,67.71%
EUI Limited,ADMIRAL GROUP PLC,yes,2022-07-01 to 2022-12-31,,,,56.73%,,56.73%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,,,9.13%,,9.13%
Experian Limited,EXPERIAN PLC,no,2022-04-01 to 2022-09-30,,,,11.76%,,11.76%
Extracover Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,43.92%,,43.92%
Fairmead Insurance Limited,ALLIANZ SE,no,2022-04-01 to 2022-09-30,,,,70.10%,,70.10%
Family Assurance Friendly Society Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,14.29%,,51.91%,37.50%,46.43%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2022-07-01 to 2022-12-31,27.72%,,,,24.55%,25.16%
FCE Bank Plc,FORD MOTOR CO,no,2022-07-01 to 2022-12-31,15.70%,,,,,15.70%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,33.14%,,,,33.14%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,55.21%,,,45.80%,47.64%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2022-07-01 to 2022-12-31,,,,49.79%,,49.79%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2022-07-01 to 2022-12-31,,,,38.89%,,38.89%
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,72.22%,,72.22%
Funding Circle Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,,28.26%,28.26%
Gresham Insurance Company Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,43.85%,,43.85%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,69.23%,,,48.50%,48.92%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,2022-07-01 to 2022-12-31,,56.48%,,,37.80%,43.98%
Hastings Insurance Services Limited,HASTINGS GROUP,no,2022-07-01 to 2022-12-31,,,,61.75%,,61.75%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,,60.49%,60.49%
Highway Insurance Company Limited,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,47.29%,,47.29%
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2022-07-01 to 2022-12-31,,,,54.93%,,54.93%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2022-03-01 to 2022-08-31,26.71%,,,,,26.71%
Homeserve Membership Limited,HOMESERVE PLC,no,2022-04-01 to 2022-09-30,,,,32.32%,,32.32%
Howserv Limited,STAYSURE HOLDINGS LTD,no,2022-07-01 to 2022-12-31,,,,24.70%,,24.70%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2022-07-01 to 2022-12-31,61.93%,50.00%,61.85%,59.14%,68.09%,61.94%
Hyundai Capital UK Limited,HYUNDAI MOTOR GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
I Go 4 Ltd.,NO GROUP,no,2022-07-01 to 2022-12-31,,,,46.66%,,46.66%
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2022-07-01 to 2022-12-31,,,,52.78%,,52.78%
Inter Partner Assistance SA,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,90.90%,,90.90%
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2022-07-01 to 2022-12-31,,74.19%,,,40.10%,41.12%
Investec Bank PLC,INVESTEC PLC,no,2022-04-01 to 2022-09-30,26.84%,,85.71%,,48.08%,27.82%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2022-03-01 to 2022-08-31,,,,6.25%,,6.25%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2022-07-01 to 2022-12-31,56.78%,,,,,56.78%
Kensington Mortgage Company Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,,28.50%,,,28.50%
Landmark Mortgages Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,56.24%,,,56.24%
LeasePlan UK Limited,LP GROUP B.V.,no,2022-07-01 to 2022-12-31,,,,50.00%,,50.00%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,57.02%,,63.74%,25.00%,100.00%,59.84%
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,69.60%,,,23.81%,67.94%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,,87.86%,16.00%,,86.57%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,67.75%,,55.21%,,57.69%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2022-07-01 to 2022-12-31,,88.82%,,74.89%,95.58%,82.78%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,59.35%,,59.35%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,63.98%,,63.98%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,66.12%,9.80%,63.26%,22.63%,32.77%,65.33%
London and Country Mortgages Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,64.41%,50.00%,,63.93%
M & G Securities Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,,46.67%,46.67%
ManyPets Ltd,NO GROUP,no,2022-04-01 to 2022-09-30,,,,61.77%,,61.77%
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,no,2022-07-01 to 2022-12-31,,,,62.86%,,62.86%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2022-07-01 to 2022-12-31,48.23%,,,59.48%,,48.53%
Marshmallow Financial Services Ltd,NO GROUP,yes,2022-07-01 to 2022-12-31,,,,48.74%,,48.74%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,54.30%,,,1.23%,,53.17%
Metro Bank PLC,METRO BANK PLC,no,2022-07-01 to 2022-12-31,51.89%,,67.51%,,16.67%,52.22%
Millstream Underwriting Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,89.87%,,89.87%
Mitsubishi HC Capital UK PLC,NO GROUP,no,2022-04-01 to 2022-09-30,,,,,,0.00%
Monzo Bank Ltd,MONZO BANK LIMITED,no,2022-03-01 to 2022-08-31,21.12%,,,,,21.12%
Moorcroft Debt Recovery Limited,NO GROUP,no,2022-02-01 to 2022-07-31,44.86%,,,,,44.86%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,2022-07-01 to 2022-12-31,24.27%,,,,,24.27%
MotoNovo Finance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,18.75%,,18.75%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,2022-04-01 to 2022-09-30,,,,51.14%,,51.14%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2022-07-01 to 2022-12-31,77.39%,37.50%,77.45%,55.72%,61.76%,77.22%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2022-04-05 to 2022-10-04,47.44%,,58.46%,37.63%,36.04%,48.42%
Newcastle Building Society,NO GROUP,no,2022-07-01 to 2022-12-31,75.21%,,48.43%,,66.67%,66.99%
Northern Bank Limited,DANSKE BANK A/S,no,2022-07-01 to 2022-12-31,31.94%,,43.55%,,,32.71%
One Call Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,13.85%,,13.85%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2022-07-01 to 2022-12-31,63.60%,,64.78%,,,64.16%
