Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,
Astrenska Insurance Limited,COLLINSON GROUP,no,2022-05-01 to 2022-10-31,,,,17.05%,,17.05%
Asurion Europe Limited,ASURION,no,2022-07-01 to 2022-12-31,,,,39.07%,,39.07%
ATLANTA 1 INSURANCE SERVICES LIMITED,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,65.53%,,65.53%
Atlanta Insurance Intermediaries Limited,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,65.17%,,65.17%
Atom Bank PLC,NO GROUP,no,2022-04-01 to 2022-09-30,39.26%,,25.71%,,,34.73%
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2022-02-01 to 2022-07-31,,,,30.23%,,30.23%
Avantia Insurance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,94.97%,,94.97%
Aviva Health UK Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,,,45.95%,,45.95%
Aviva Insurance Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,,,35.72%,,35.72%
Aviva Life Services UK Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,30.05%,34.97%,36.30%,25.66%,30.91%
AWP Assistance UK Ltd,ALLIANZ SE,yes,2022-07-01 to 2022-12-31,,,,14.08%,,14.08%
AXA Insurance Designated Activity Company,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,91.39%,,91.39%
AXA Insurance UK Plc,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,38.17%,,38.17%
AXA PPP Healthcare Limited,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,78.72%,,78.72%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2022-07-01 to 2022-12-31,38.43%,,13.83%,10.00%,,34.49%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,59.69%,18.18%,50.10%,50.77%,30.60%,57.88%
Barbon Insurance Group Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,34.65%,,34.65%
Barclays Bank Plc,BARCLAYS PLC,no,2022-07-01 to 2022-12-31,71.88%,,,,20.00%,71.63%
Barclays Bank UK PLC,BARCLAYS PLC,yes,2022-07-01 to 2022-12-31,59.65%,32.00%,37.80%,33.30%,38.87%,56.20%
Bennetts Motorcycling Services Limited,LUCIDA GROUP,no,2022-07-01 to 2022-12-31,,,,42.57%,,42.57%
BISL Limited,BGL GROUP,no,2022-07-01 to 2022-12-31,,,,43.43%,,43.43%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,20.00%,25.56%,,25.00%
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,yes,2022-04-01 to 2022-09-30,,,1.86%,,1.11%,1.70%
Brightside Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,44.67%,,44.67%
British Gas Insurance Limited,CENTRICA PLC,no,2022-07-01 to 2022-12-31,,,,49.05%,,49.05%
British Gas Services Limited,CENTRICA PLC,no,2022-07-01 to 2022-12-31,,,,71.42%,,71.42%
BUPA Insurance Services Limited,BUPA GROUP,yes,2022-07-01 to 2022-12-31,,,,42.00%,,42.00%
Cabot Credit Management Group Limited,NO GROUP,no,2022-07-01 to 2022-12-31,19.07%,,6.38%,,,18.92%
Call Assist Ltd,CALL ASSIST LIMITED,no,2022-05-01 to 2022-10-31,,,,38.73%,,38.73%
Canada Life Limited,GREAT-WEST-LIFECO,yes,2022-07-01 to 2022-12-31,,12.64%,,26.52%,16.67%,17.08%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2022-07-01 to 2022-12-31,26.20%,,,66.07%,,26.60%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,yes,2022-07-01 to 2022-12-31,,,,16.14%,,16.14%
Carfinance247 Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,22.22%,,22.22%
Carole Nash Insurance Consultants Ltd,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,58.84%,,58.84%
Cater Allen Limited,SANTANDER UK GROUP,no,2022-07-01 to 2022-12-31,33.40%,,,,,33.40%
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,2022-07-01 to 2022-12-31,25.05%,,21.62%,,,23.08%
Citibank UK Limited,CITIGROUP INC,no,2022-07-01 to 2022-12-31,78.68%,,,,16.18%,78.25%
ClearBank Limited,NO GROUP,no,2022-07-01 to 2022-12-31,14.00%,,,,,14.00%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2022-02-01 to 2022-07-31,44.26%,,,,,40.50%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2022-04-01 to 2022-09-30,46.73%,,27.75%,27.27%,28.57%,45.78%
Cofunds Limited,AEGON N.V.,no,2022-07-01 to 2022-12-31,,12.50%,,,20.18%,19.74%
Columbia Threadneedle Management Limited,AMERIPRISE FINANCIAL,no,2022-07-01 to 2022-12-31,,,,,33.64%,33.64%
Connells Limited,SKIPTON BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,,,3.92%,12.33%,,4.81%
Corgi Homeplan Ltd,OVO GROUP,no,2022-07-01 to 2022-12-31,,,,24.59%,,24.59%
Coutts & Company,NATWEST GROUP,no,2022-07-01 to 2022-12-31,6.41%,20.00%,1.82%,,3.03%,5.99%
Covea Insurance plc,COVEA GROUP,yes,2022-07-01 to 2022-12-31,,,,21.10%,,21.10%
Coventry Building Society,NO GROUP,yes,2022-07-01 to 2022-12-31,69.65%,,49.06%,,,66.40%
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,2.04%,,,,,2.04%
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,10.14%,,,,,10.14%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,2022-07-01 to 2022-12-31,36.88%,,37.50%,,,36.89%
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,no,2022-07-01 to 2022-12-31,,,,13.23%,,13.23%
DAVIES MGA SERVICES LIMITED,NO GROUP,no,2022-07-01 to 2022-12-31,,,,36.85%,,36.85%
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2022-04-01 to 2022-09-30,,,,62.22%,,62.22%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2022-04-01 to 2022-09-30,,,15.87%,,,15.87%
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2022-07-01 to 2022-12-31,,22.22%,,,63.55%,63.42%
ERGO TRAVEL INSURANCE SERVICES LTD,ERGO GROUP,no,2022-07-01 to 2022-12-31,,,,6.70%,,6.70%
esure Insurance Limited,ESURE GROUP PLC,yes,2022-07-01 to 2022-12-31,,,,49.85%,,49.85%
EUI Limited,ADMIRAL GROUP PLC,yes,2022-07-01 to 2022-12-31,,,,38.10%,,38.10%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,,,77.13%,,77.13%
Experian Limited,EXPERIAN PLC,no,2022-04-01 to 2022-09-30,,,,17.65%,,17.65%
Extracover Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,45.30%,,45.30%
Fairmead Insurance Limited,ALLIANZ SE,no,2022-04-01 to 2022-09-30,,,,26.12%,,26.12%
Family Assurance Friendly Society Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,28.57%,,76.54%,66.30%,72.37%
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2022-07-01 to 2022-12-31,79.89%,,,,74.55%,75.57%
FCE Bank Plc,FORD MOTOR CO,no,2022-07-01 to 2022-12-31,9.92%,,,,,9.92%
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,53.70%,,,,53.70%
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2022-07-01 to 2022-12-31,,39.29%,,,47.56%,45.95%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2022-07-01 to 2022-12-31,,,,56.44%,,56.44%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2022-07-01 to 2022-12-31,,,,33.33%,,33.33%
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,38.03%,,38.03%
Funding Circle Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,,6.52%,6.52%
Gresham Insurance Company Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,38.24%,,38.24%
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,38.46%,,,51.18%,50.93%
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,2022-07-01 to 2022-12-31,,7.92%,,,12.45%,10.95%
Hastings Insurance Services Limited,HASTINGS GROUP,no,2022-07-01 to 2022-12-31,,,,38.30%,,38.30%
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,,18.97%,18.97%
Highway Insurance Company Limited,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,37.32%,,37.32%
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2022-07-01 to 2022-12-31,,,,8.32%,,8.32%
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2022-03-01 to 2022-08-31,38.14%,,,,,38.14%
Homeserve Membership Limited,HOMESERVE PLC,no,2022-04-01 to 2022-09-30,,,,34.73%,,34.73%
Howserv Limited,STAYSURE HOLDINGS LTD,no,2022-07-01 to 2022-12-31,,,,25.54%,,25.54%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2022-07-01 to 2022-12-31,70.18%,21.43%,32.46%,10.39%,17.58%,66.04%
Hyundai Capital UK Limited,HYUNDAI MOTOR GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
I Go 4 Ltd.,NO GROUP,no,2022-07-01 to 2022-12-31,,,,26.16%,,26.16%
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2022-07-01 to 2022-12-31,,,,47.22%,,47.22%
Inter Partner Assistance SA,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,8.50%,,8.50%
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2022-07-01 to 2022-12-31,,3.23%,,,26.37%,25.68%
Investec Bank PLC,INVESTEC PLC,no,2022-04-01 to 2022-09-30,79.45%,,7.14%,,1.92%,76.88%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2022-03-01 to 2022-08-31,,,,20.83%,,20.83%
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2022-07-01 to 2022-12-31,46.46%,,,,,46.46%
Kensington Mortgage Company Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,,31.99%,,,31.99%
Landmark Mortgages Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,1.40%,,,1.40%
LeasePlan UK Limited,LP GROUP B.V.,no,2022-07-01 to 2022-12-31,,,,50.00%,,50.00%
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,63.68%,,52.42%,37.50%,100.00%,58.78%
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,48.02%,,,19.05%,46.97%
Legal & General Partnership Services Limited,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,,0.73%,,,0.72%
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2022-07-01 to 2022-12-31,,23.27%,,45.47%,,41.09%
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2022-07-01 to 2022-12-31,,47.01%,,69.90%,78.16%,67.30%
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,40.25%,,40.25%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,14.44%,,14.44%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,51.63%,13.73%,46.65%,35.01%,29.41%,51.13%
London and Country Mortgages Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,7.44%,22.22%,,7.92%
M & G Securities Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,,33.36%,33.36%
ManyPets Ltd,NO GROUP,no,2022-04-01 to 2022-09-30,,,,10.62%,,10.62%
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,no,2022-07-01 to 2022-12-31,,,,68.25%,,68.25%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2022-07-01 to 2022-12-31,76.55%,,,56.67%,,76.02%
Marshmallow Financial Services Ltd,NO GROUP,yes,2022-07-01 to 2022-12-31,,,,0.92%,,0.92%
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,57.55%,,,15.98%,,56.67%
Metro Bank PLC,METRO BANK PLC,no,2022-07-01 to 2022-12-31,33.02%,,45.18%,,83.33%,33.34%
Millstream Underwriting Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,22.78%,,22.78%
Mitsubishi HC Capital UK PLC,NO GROUP,no,2022-04-01 to 2022-09-30,,,,,,0.00%
Monzo Bank Ltd,MONZO BANK LIMITED,no,2022-03-01 to 2022-08-31,19.89%,,,,,19.89%
Moorcroft Debt Recovery Limited,NO GROUP,no,2022-02-01 to 2022-07-31,25.97%,,,,,25.97%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,2022-07-01 to 2022-12-31,65.91%,,,,,65.91%
MotoNovo Finance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,22.92%,,22.92%
National House-Building Council,NATIONAL HOUSE-BUILDING COUNCIL,no,2022-04-01 to 2022-09-30,,,,17.16%,,17.16%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2022-07-01 to 2022-12-31,33.92%,,18.02%,2.11%,2.52%,32.34%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2022-04-05 to 2022-10-04,28.42%,,8.20%,9.06%,8.48%,26.17%
Newcastle Building Society,NO GROUP,no,2022-07-01 to 2022-12-31,57.10%,,66.67%,,,59.69%
Northern Bank Limited,DANSKE BANK A/S,no,2022-07-01 to 2022-12-31,51.49%,,19.35%,,,49.03%
One Call Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,74.85%,,74.85%
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2022-07-01 to 2022-12-31,55.81%,,27.31%,,,42.31%
OVO (S) HOME SERVICES LIMITED,SSE PLC,no,2022-07-01 to 2022-12-31,,,,31.76%,,31.76%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2022-04-01 to 2022-09-30,24.08%,,39.69%,50.00%,,28.42%
People's Administration Services Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,42.51%,,,,42.51%
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2022-07-01 to 2022-12-31,,,24.56%,,,24.56%
Phoenix Life Assurance Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,63.33%,,30.43%,27.85%,59.25%
Phoenix Life Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,44.28%,,48.98%,35.93%,45.30%
Pinnacle Insurance Plc,BNP PARIBAS GROUP,no,2022-07-01 to 2022-12-31,,,,51.50%,,51.50%
Post Office Management Services Limited,POST OFFICE LIMITED,no,2022-04-01 to 2022-09-30,,,,25.10%,,25.10%
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,54.12%,,43.10%,55.56%,,49.14%
QBE UK Limited,QBE INSURANCE GROUP,no,2022-07-01 to 2022-12-31,,,,19.64%,,19.64%
Qmetric Group Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,,,33.57%,,33.57%
Quilter Investment Platform Limited,QUILTER PLC GROUP,no,2022-07-01 to 2022-12-31,,,,,0.68%,0.68%
Quilter Life & Pensions Limited,QUILTER PLC GROUP,no,2022-07-01 to 2022-12-31,,0.79%,,,,0.70%
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2022-07-01 to 2022-12-31,,,,17.62%,,17.62%
RBS Collective Investment Funds Limited,THE ROYAL BANK OF SCOTLAND GROUP,no,2022-07-01 to 2022-12-31,,,,,19.75%,19.75%
ReAssure Life Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,27.65%,,43.91%,38.46%,36.56%
ReAssure Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,30.26%,,32.80%,40.77%,32.29%
Reassured Ltd,NO GROUP,no,2022-02-01 to 2022-07-31,,,,70.60%,,70.60%
Rock Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,60.96%,,60.96%
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2022-07-01 to 2022-12-31,,,,52.79%,,52.79%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2022-07-01 to 2022-12-31,,,,44.76%,,44.76%
Saga Services Limited,SAGA PLC,no,2022-02-01 to 2022-07-31,,,,75.53%,,75.53%
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
Santander UK Plc,SANTANDER UK GROUP,no,2022-07-01 to 2022-12-31,56.09%,17.24%,31.05%,3.67%,3.17%,53.46%
Scottish Equitable Plc,AEGON N.V.,no,2022-07-01 to 2022-12-31,,21.73%,,39.49%,29.55%,23.59%
Scottish Friendly Assurance Society Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,1.60%,,12.10%,7.78%,6.28%
Scottish Widows Administration Services Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,2.53%,,,,2.53%
Scottish Widows Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,18.59%,,18.08%,13.21%,17.63%
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,,,14.00%,14.00%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2022-07-01 to 2022-12-31,14.42%,,,,,14.42%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2022-07-01 to 2022-12-31,3.78%,,12.23%,,,6.27%
Shop Direct Finance Company Limited,THE VERY GROUP,no,2022-07-01 to 2022-12-31,,,,1.06%,,1.06%
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2022-07-01 to 2022-12-31,,,,28.97%,,28.97%
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,44.73%,3.33%,18.93%,,5.63%,35.71%
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2022-07-01 to 2022-12-31,,,,35.04%,,35.04%
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2022-07-01 to 2022-12-31,,6.38%,,,1.94%,4.99%
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2022-07-01 to 2022-12-31,,0.57%,6.67%,,0.42%,0.57%
Standard Life Assurance Limited,PHOENIX GROUP,no,2022-07-01 to 2022-12-31,,40.61%,6.25%,54.55%,40.44%,40.61%
Starling Bank Limited,NO GROUP,no,2022-04-01 to 2022-09-30,34.06%,,,,,34.06%
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2022-07-01 to 2022-12-31,,,,4.31%,,4.31%
Stellantis Financial Services UK Limited,STELLANTIS FINANCIAL SERVICES UK LTD,no,2022-07-01 to 2022-12-31,,,,25.00%,,25.00%
Studio Retail Limited,NO GROUP,no,2022-05-01 to 2022-10-31,,,,20.00%,20.00%,20.00%
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,2022-07-01 to 2022-12-31,,7.62%,,8.90%,5.42%,7.89%
Target Servicing Limited,NO GROUP,no,2022-04-01 to 2022-09-30,,,13.97%,,,13.97%
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,TELEFONICA GROUP,no,2022-07-01 to 2022-12-31,,,,24.35%,,24.35%
Telefonica UK Limited,TELEFONICA GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),no,2022-03-01 to 2022-08-31,38.61%,,,57.99%,,41.31%
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2022-03-01 to 2022-08-31,,,,44.19%,,44.19%
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2022-07-01 to 2022-12-31,76.16%,,21.94%,7.14%,25.00%,72.36%
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,47.73%,,,47.73%
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2022-04-01 to 2022-09-30,,,3.96%,,,3.96%
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2022-07-01 to 2022-12-31,,,,21.71%,3.51%,21.20%
The Prudential Assurance Company Limited,PRUDENTIAL PLC,yes,2022-07-01 to 2022-12-31,,12.57%,,10.12%,16.21%,13.16%
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2022-07-01 to 2022-12-31,32.90%,,17.21%,2.38%,,31.22%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,2022-07-01 to 2022-12-31,,22.57%,,28.00%,23.10%,24.00%
Topaz Finance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,2.99%,,,2.99%
Triodos Bank UK Limited,TRIODOS BANK NV,no,2022-07-01 to 2022-12-31,62.50%,,,,51.61%,61.83%
TSB Bank plc,BANCO DE SABADELL SA,no,2022-07-01 to 2022-12-31,71.65%,,56.70%,59.38%,,70.53%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2022-07-01 to 2022-12-31,,,,54.85%,,54.85%
UBS AG,UBS GROUP AG,no,2022-07-01 to 2022-12-31,42.86%,50.00%,22.22%,,55.00%,53.54%
"Vanguard Asset Management, Ltd",VANGUARD ASSET MANAGEMENT LTD,no,2022-07-01 to 2022-12-31,,25.21%,,,31.00%,29.43%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2022-07-01 to 2022-12-31,32.15%,,,,,32.15%
Vitality Corporate Services Limited,DISCOVERY LIMITED,no,2022-07-01 to 2022-12-31,,,,23.22%,,22.78%
Vodafone Limited,VODAFONE GROUP,no,2022-04-01 to 2022-09-30,,,,18.37%,,18.37%
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
Wescot Credit Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,49.78%,,,,,49.78%
Xbridge Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,22.24%,,22.24%
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,33.50%,,28.41%,,,32.04%
Zopa Bank Limited,NO GROUP,no,2022-07-01 to 2022-12-31,9.05%,,,,,9.05%
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2022-07-01 to 2022-12-31,100.00%,33.88%,,26.56%,42.45%,30.65%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,2022-07-01 to 2022-12-31,,,,24.10%,,24.10%
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,no,2022-01-01 to 2022-06-30,50.00%,,30.91%,,,
Acm Ulr Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,2.01%,,
Adrian Flux Insurance Services Group,NO GROUP,no,2021-09-01 to 2022-02-28,,,,90.03%,,
Advanced Payment Solutions Limited,NO GROUP,no,2021-10-01 to 2022-03-31,33.73%,,,,,
Advisory Insurance Brokers Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,50.82%,,
Affinity Insurance Solutions Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,77.98%,,
Ageas Insurance Limited,AGEAS SA-NV,no,2022-01-01 to 2022-06-30,,,,31.91%,,
Ageas Retail Limited,AGEAS SA-NV,no,2022-01-01 to 2022-06-30,,,,43.49%,,
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2022-01-01 to 2022-06-30,27.66%,,38.71%,,,
Aioi Nissay Dowa Insurance UK Limited,NO GROUP,yes,2022-01-01 to 2022-06-30,,,,27.68%,,
AJ Bell Management Limited,NO GROUP,no,2021-10-01 to 2022-03-31,53.33%,38.50%,,,,
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2022-01-01 to 2022-06-30,50.19%,,10.52%,,,
Allianz Insurance Plc,NO GROUP,no,2022-01-01 to 2022-06-30,,,,39.35%,,
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2022-01-01 to 2022-06-30,7.30%,,,2.78%,,
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,2021-12-01 to 2022-05-31,,,,36.73%,,
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,2022-01-01 to 2022-06-30,,,,12.00%,,
Animal Friends Insurance Services Ltd,NO GROUP,no,2022-01-01 to 2022-06-30,,,,30.64%,,
Arthur J. Gallagher Insurance Brokers Limited,NO GROUP,yes,2022-01-01 to 2022-06-30,,,,34.88%,,
Assurant General Insurance Limited,ASSURANT INC,no,2022-01-01 to 2022-06-30,,,,73.25%,,
Astrenska Insurance Limited,NO GROUP,no,2021-11-01 to 2022-04-30,,,,36.83%,,
Asurion Europe Limited,NEW ASURION CORP,no,2022-01-01 to 2022-06-30,,,,34.99%,,
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,2022-01-01 to 2022-06-30,,,,50.90%,,
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,2022-01-01 to 2022-06-30,,,,45.24%,,
Automobile Association Insurance Services Limited,NO GROUP,no,2021-08-01 to 2022-01-31,,,,49.94%,,
Avantia Insurance Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,84.92%,,
Aviva Insurance Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,38.09%,,
Aviva Life Services UK Limited,AVIVA PLC,no,2022-01-01 to 2022-06-30,,37.55%,54.20%,42.18%,32.97%,
AWP Assistance UK Ltd,ALLIANZ SE,no,2022-01-01 to 2022-06-30,,,,13.52%,,
AXA Insurance UK Plc,AXA SA,no,2022-01-01 to 2022-06-30,,,,39.69%,,
AXA PPP Healthcare Limited,AXA SA,no,2022-01-01 to 2022-06-30,,,,81.05%,,
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP PLC,yes,2022-01-01 to 2022-06-30,32.20%,,28.11%,2.78%,,
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2022-01-01 to 2022-06-30,61.77%,7.14%,56.51%,22.22%,44.46%,
Barbon Insurance Group Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,41.67%,,
Barclays Bank Plc,BARCLAYS PLC,no,2022-01-01 to 2022-06-30,76.56%,,,,39.02%,
Barclays Bank UK PLC,BARCLAYS PLC,yes,2022-01-01 to 2022-06-30,68.76%,38.98%,54.36%,29.18%,32.69%,
Bennetts Motorcycling Services Limited,NO GROUP,no,2022-01-01 to 2022-06-30,,,,66.07%,,
