Firm Name,Group,Joint Reporting,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,Grand total
Chaucer Insurance Company Designated Activity Company,NO GROUP,no,2023-01-01 to 2023-06-30,,,,80.65%,,
Chetwood Financial Limited,NO GROUP,no,2022-10-01 to 2023-03-31,97.32%,,,,,
Chubb European Group SE,CHUBB LIMITED,no,2023-01-01 to 2023-06-30,,,,90.46%,,
Citibank UK Limited,CITI GROUP,no,2023-01-01 to 2023-06-30,21.97%,,,,87.30%,
ClearBank Limited,NO GROUP,no,2023-01-01 to 2023-06-30,76.88%,,,,,
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2022-08-01 to 2023-01-31,82.77%,,,62.50%,,
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2022-10-01 to 2023-03-31,24.89%,0.00%,21.51%,15.38%,55.19%,
Co-op Insurance Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,70.31%,,
Cofunds Limited,AEGON N.V.,no,2023-01-01 to 2023-06-30,,16.36%,,,24.19%,
Columbia Threadneedle Management Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,,62.83%,
Connells Limited,SKIPTON BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,,,78.51%,78.72%,100.00%,
Convera UK Financial Limited,NO GROUP,no,2023-01-01 to 2023-06-30,97.09%,,,,,
CORGI HomePlan Ltd,OVO GROUP,no,2023-01-01 to 2023-06-30,,,,86.78%,,
Coutts & Company,NATWEST GROUP,no,2023-01-01 to 2023-06-30,74.97%,50.00%,62.31%,72.73%,61.32%,
Covea Insurance plc,COVEA GROUP,yes,2023-01-01 to 2023-06-30,,,,76.48%,,
Coventry Building Society,NO GROUP,yes,2023-01-01 to 2023-06-30,45.28%,,54.64%,100.00%,,
Cover Genius Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,81.68%,,
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,2023-01-01 to 2023-06-30,85.49%,,,0.00%,,
Creation Financial Services Limited,BNP PARIBAS GROUP,no,2023-01-01 to 2023-06-30,63.13%,,,0.00%,,
Cumberland Building Society,NO GROUP,no,2022-10-01 to 2023-03-31,64.40%,,61.02%,100.00%,,
Cuvva Limited,NO GROUP,no,2022-09-01 to 2023-02-28,,,,74.95%,,
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,2023-01-01 to 2023-06-30,70.34%,,,,,
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,no,2023-01-01 to 2023-06-30,,,,84.09%,,
DAVIES MGA SERVICES LIMITED,NO GROUP,no,2023-01-01 to 2023-06-30,,,,49.65%,,
Devitt Insurance Services Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,31.94%,,
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,no,2022-10-01 to 2023-03-31,,,,31.96%,,
Elavon Financial Services Designated Activity Company,NO GROUP,no,2023-01-01 to 2023-06-30,56.74%,,,,,
Elderbridge Limited,TECH MAHINDRA LIMITED,no,2022-10-01 to 2023-03-31,,,79.05%,100.00%,,
Equiniti Financial Services Limited,EQUINITI GROUP PLC,no,2023-01-01 to 2023-06-30,,88.89%,,,41.55%,
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,no,2023-01-01 to 2023-06-30,,,,69.32%,,
esure Insurance Limited,ESURE GROUP PLC,yes,2023-01-01 to 2023-06-30,,,,42.39%,,
EUI Limited,ADMIRAL GROUP PLC,yes,2023-01-01 to 2023-06-30,,,,41.90%,,
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,2023-01-01 to 2023-06-30,,,,20.39%,,
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,no,2023-01-01 to 2023-06-30,,,,12.22%,,
Experian Limited,EXPERIAN PLC,no,2022-10-01 to 2023-03-31,,,,85.71%,,
Extracover Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,57.24%,,
Fairmead Insurance Limited,ALLIANZ SE,no,2022-10-01 to 2023-03-31,,,,72.83%,,
Family Assurance Friendly Society Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,20.00%,,37.05%,58.10%,
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,no,2023-01-01 to 2023-06-30,42.17%,,,,43.44%,
FCE Bank Plc,FORD MOTOR CO,no,2023-01-01 to 2023-06-30,91.30%,,,,,
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,no,2023-01-01 to 2023-06-30,,53.13%,,,,
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,no,2023-01-01 to 2023-06-30,,81.61%,,,77.98%,
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,2023-01-01 to 2023-06-30,,,,39.20%,,
FirstRand Bank Limited,FIRSTRAND LIMITED,no,2023-01-01 to 2023-06-30,,,,93.75%,,
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,no,2023-01-01 to 2023-06-30,,36.36%,,56.86%,60.26%,
Fortegra Europe Insurance Company Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,80.02%,,
Frasers Group Financial Services Limited,NO GROUP,no,2022-11-01 to 2023-04-30,,,,28.57%,28.57%,
Gresham Insurance Company Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,54.80%,,
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,38.89%,,,39.56%,
Handelsbanken plc,NO GROUP,no,2023-01-01 to 2023-06-30,34.09%,,63.51%,,,
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,no,2023-01-01 to 2023-06-30,,93.09%,,,91.47%,
Hastings Insurance Services Limited,HASTINGS GROUP,no,2023-01-01 to 2023-06-30,,,,62.28%,,
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,,,,69.75%,
Helvetia Global Solutions Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,66.60%,,
Highway Insurance Company Limited,ALLIANZ SE,no,2023-01-01 to 2023-06-30,,,,46.11%,,
Hiscox Insurance Company Limited,HISCOX LTD.,yes,2023-01-01 to 2023-06-30,,,,67.69%,,
Home Retail Group Card Services Limited,J SAINSBURY PLC,no,2022-09-01 to 2023-02-28,57.03%,,,,,
Homeserve Membership Limited,HOMESERVE PLC,no,2022-10-01 to 2023-03-31,,,,69.58%,,
Howserv Limited,STAYSURE HOLDINGS LTD,no,2023-01-01 to 2023-06-30,,,,61.43%,,
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,2023-01-01 to 2023-06-30,21.16%,35.71%,57.21%,62.85%,76.00%,
Hyundai Capital UK Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,,,
I Go 4 Ltd.,NO GROUP,no,2023-01-01 to 2023-06-30,,,,54.20%,,
Ikano Bank AB (publ),NO GROUP,no,2023-01-01 to 2023-06-30,68.21%,,,,,
Insurance Factory Ltd,MARKERSTUDY GROUP,no,2023-01-01 to 2023-06-30,,,,53.22%,,
Integra Insurance Solutions Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,68.28%,,
Inter Partner Assistance SA,AXA GROUP,no,2023-01-01 to 2023-06-30,,,,63.07%,,
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,no,2023-01-01 to 2023-06-30,,83.15%,,,68.49%,
Investec Bank PLC,INVESTEC PLC,no,2022-10-01 to 2023-03-31,37.03%,,100.00%,,96.72%,
Investment Funds Direct Limited,M&G PLC,no,2023-01-01 to 2023-06-30,,58.26%,,,53.90%,
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,2022-09-01 to 2023-02-28,,,,37.50%,,
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,no,2023-01-01 to 2023-06-30,54.15%,,,,,
Kensington Mortgage Company Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,69.27%,,,
Kroo Bank Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,100.00%,,,,,
Landmark Mortgages Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,67.47%,,,
LeasePlan UK Limited,LP GROUP B.V.,no,2023-01-01 to 2023-06-30,,,,100.00%,,
Leeds Building Society,LEEDS BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,43.12%,,44.83%,60.00%,100.00%,
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,no,2023-01-01 to 2023-06-30,,47.93%,,,100.00%,
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,no,2023-01-01 to 2023-06-30,,75.65%,,44.56%,,
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,no,2023-01-01 to 2023-06-30,,47.64%,,27.90%,25.00%,
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,no,2023-01-01 to 2023-06-30,,,,53.37%,,
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,,,83.41%,,
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,42.49%,59.70%,52.99%,60.48%,74.16%,
London and Country Mortgages Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,90.23%,82.86%,,
M & G Securities Limited,M&G PLC,no,2023-01-01 to 2023-06-30,,,,,64.49%,
ManyPets Ltd,NO GROUP,no,2022-10-01 to 2023-03-31,,,,81.90%,,
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,no,2023-01-01 to 2023-06-30,,,,29.83%,,
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,2023-01-01 to 2023-06-30,28.83%,,,24.39%,,
Marshmallow Financial Services Ltd,NO GROUP,yes,2023-01-01 to 2023-06-30,,,,96.65%,,
MBNA Limited,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,45.56%,,,53.62%,,
Metro Bank PLC,METRO BANK PLC,no,2023-01-01 to 2023-06-30,64.67%,,56.96%,,,
Monzo Bank Ltd,MONZO BANK LIMITED,no,2022-09-01 to 2023-02-28,89.23%,,,,,
Moorcroft Debt Recovery Limited,NO GROUP,no,2022-08-01 to 2023-01-31,71.15%,,,,,
MotoNovo Finance Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,91.43%,,
Munich Re Digital Partners Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,40.74%,,
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,2023-01-01 to 2023-06-30,62.07%,60.00%,56.51%,51.98%,79.01%,
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,2022-10-01 to 2023-04-04,63.12%,100.00%,59.71%,60.65%,88.46%,
Newcastle Building Society,NO GROUP,no,2023-01-01 to 2023-06-30,35.45%,0.00%,22.73%,,50.00%,
Northern Bank Limited,DANSKE BANK A/S,no,2023-01-01 to 2023-06-30,52.89%,,83.67%,,100.00%,
One Call Insurance Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,30.09%,,
OneSavings Bank Plc,ONESAVINGS BANK PLC,no,2023-01-01 to 2023-06-30,29.66%,,36.59%,,,
OVO (S) Home Services Limited,SSE PLC,no,2023-01-01 to 2023-06-30,,,,83.02%,,
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,2022-10-01 to 2023-03-31,75.79%,,61.69%,66.67%,,
People's Administration Services Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,60.09%,,,,
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,no,2023-01-01 to 2023-06-30,,,74.76%,,,
Phoenix Life Assurance Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,18.04%,100.00%,42.68%,31.54%,
Phoenix Life Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,39.02%,57.14%,42.73%,34.13%,
Pinnacle Insurance Plc,BNP PARIBAS GROUP,no,2023-01-01 to 2023-06-30,,,,50.01%,,
Post Office Management Services Limited,POST OFFICE LIMITED,no,2022-10-01 to 2023-03-31,,,,60.31%,,
Prestige Underwriting Services Ltd,NO GROUP,no,2023-01-01 to 2023-06-30,,,,94.04%,,
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,44.30%,,50.26%,75.00%,,
QBE UK Limited,QBE INSURANCE GROUP,no,2023-01-01 to 2023-06-30,,,,62.78%,,
Qmetric Group Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,,72.90%,,
Quilter Investment Platform Limited,QUILTER GROUP,no,2023-01-01 to 2023-06-30,,,,,99.18%,
Quilter Life & Pensions Limited,QUILTER GROUP,no,2023-01-01 to 2023-06-30,,97.24%,,,98.33%,
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,yes,2023-01-01 to 2023-06-30,,,,66.68%,,
RBS Collective Investment Funds Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,,71.58%,
ReAssure Life Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,67.06%,,59.37%,48.31%,
ReAssure Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,63.06%,75.00%,69.25%,51.65%,
Rock Insurance Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,30.20%,,
Rothesay Life Plc,NO GROUP,no,2023-01-01 to 2023-06-30,,92.93%,,,,
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,no,2023-01-01 to 2023-06-30,,,,31.73%,,
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,2023-01-01 to 2023-06-30,,,,41.43%,,
Saga Services Limited,SAGA PLC,no,2022-08-01 to 2023-01-31,,,,26.44%,,
Sainsbury's Bank Plc,J SAINSBURY PLC,no,2022-09-01 to 2023-02-28,32.66%,,40.17%,90.73%,,
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,2023-01-01 to 2023-06-30,,,,50.00%,,
Santander UK Plc,SANTANDER UK GROUP,no,2023-01-01 to 2023-06-30,37.09%,50.00%,35.96%,64.47%,63.89%,
Scottish Equitable Plc,AEGON N.V.,no,2023-01-01 to 2023-06-30,,40.48%,,68.95%,54.24%,
Scottish Friendly Assurance Society Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,89.26%,,83.03%,86.80%,
Scottish Widows Administration Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,81.66%,,,100.00%,
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,45.45%,,50.11%,59.08%,
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,,,,69.17%,
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,2023-01-01 to 2023-06-30,80.14%,,100.00%,,,
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,2023-01-01 to 2023-06-30,56.60%,,70.24%,,,
Shop Direct Finance Company Limited,THE VERY GROUP,no,2023-01-01 to 2023-06-30,,,,99.06%,,
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,no,2023-01-01 to 2023-06-30,,,,70.54%,,
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,50.78%,100.00%,71.12%,100.00%,84.02%,
Society of Lloyd's,SOCIETY OF LLOYD'S,no,2023-01-01 to 2023-06-30,,,,73.40%,,
Somerset Bridge Insurance Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,45.64%,,
St James's Place UK plc,ST. JAMES'S PLACE PLC,no,2023-01-01 to 2023-06-30,,96.57%,,100.00%,92.78%,
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,no,2023-01-01 to 2023-06-30,,16.67%,33.33%,18.60%,14.67%,
Standard Life Assurance Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,55.38%,100.00%,55.00%,45.21%,
Standard Life Savings Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,,77.33%,
Starling Bank Limited,NO GROUP,no,2022-10-01 to 2023-03-31,82.92%,,,,,
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",no,2023-01-01 to 2023-06-30,,,,93.24%,,
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,no,2023-01-01 to 2023-06-30,,70.58%,,65.64%,66.96%,
Target Servicing Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,78.18%,,,
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,no,2023-01-01 to 2023-06-30,,,,69.63%,,
Telefonica UK Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,81.48%,,
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),no,2022-09-01 to 2023-02-28,56.45%,,,37.61%,,
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),no,2022-09-01 to 2023-02-28,,,,55.12%,,
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),no,2023-01-01 to 2023-06-30,9.92%,,36.11%,81.63%,,
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,no,2023-01-01 to 2023-06-30,,,50.87%,,,
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,no,2022-10-01 to 2023-03-31,,,47.07%,,,
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,yes,2023-01-01 to 2023-06-30,,98.52%,,64.00%,98.02%,
The Prudential Assurance Company Limited,M&G PLC,yes,2023-01-01 to 2023-06-30,,73.56%,27.27%,65.09%,72.14%,
The Royal Bank of Scotland Plc,NATWEST GROUP,no,2023-01-01 to 2023-06-30,63.35%,85.71%,50.27%,40.68%,78.38%,
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,2023-01-01 to 2023-06-30,,64.43%,,65.81%,71.27%,
Topaz Finance Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,86.09%,,,
Triodos Bank UK Limited,NO GROUP,no,2023-01-01 to 2023-06-30,57.53%,,,,65.12%,
TSB Bank plc,BANCO DE SABADELL SA,no,2023-01-01 to 2023-06-30,27.68%,,35.50%,41.03%,,
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,2023-01-01 to 2023-06-30,,,,43.81%,,
UK Warranty Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,,59.92%,,
"Vanguard Asset Management, Ltd",NO GROUP,no,2023-01-01 to 2023-06-30,,54.02%,,,45.14%,
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,2023-01-01 to 2023-06-30,67.22%,,,,,
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,2023-01-01 to 2023-06-30,,87.50%,,38.03%,87.50%,
Vodafone Limited,NO GROUP,no,2022-10-01 to 2023-03-31,,,,38.40%,,
Wescot Credit Services Limited,NO GROUP,no,2023-01-01 to 2023-06-30,51.65%,,,,,
Xbridge Limited,NO GROUP,no,2023-01-01 to 2023-06-30,,,,85.85%,,
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,no,2023-01-01 to 2023-06-30,49.85%,,57.36%,50.00%,100.00%,
Zopa Bank Limited,NO GROUP,no,2023-01-01 to 2023-06-30,89.64%,,,,,
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,no,2023-01-01 to 2023-06-30,,68.28%,50.00%,74.80%,67.65%,
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,no,2023-01-01 to 2023-06-30,,,,83.17%,,
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,90.91%,,67.66%,,,68.08%
Acm Ulr Limited,BGL GROUP,no,2022-07-01 to 2022-12-31,,,,96.79%,,96.79%
Action 365 Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,89.16%,,89.16%
Adrian Flux Insurance Services Group,NO GROUP,no,2022-03-01 to 2022-08-31,,,,21.03%,,21.03%
Advanced Payment Solutions Limited,NO GROUP,no,2022-04-01 to 2022-09-30,67.12%,,,,,67.12%
Advisory Insurance Brokers Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,73.31%,,73.31%
Affinity Insurance Solutions Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,16.71%,,16.71%
Ageas Insurance Limited,AGEAS SA-NV,no,2022-07-01 to 2022-12-31,,,,59.12%,,59.12%
Ageas Retail Limited,AGEAS SA-NV,no,2022-07-01 to 2022-12-31,,,,28.91%,,28.91%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,2022-07-01 to 2022-12-31,77.15%,,76.74%,66.67%,100.00%,77.12%
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,no,2022-07-01 to 2022-12-31,,,,73.88%,,73.88%
Al Rayan Bank PLC,MASRAF AL RAYAN Q.P.S.C,no,2022-07-01 to 2022-12-31,49.63%,,63.16%,,,50.92%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,2022-07-01 to 2022-12-31,40.14%,,83.71%,,,58.18%
Allianz Insurance Plc,ALLIANZ SE,no,2022-07-01 to 2022-12-31,,,,59.40%,,59.40%
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,no,2022-07-01 to 2022-12-31,48.05%,,,47.06%,,48.05%
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",no,2022-06-01 to 2022-11-30,,,,73.51%,,73.51%
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,no,2022-07-01 to 2022-12-31,,,,68.55%,,68.55%
Animal Friends Insurance Services Ltd,NO GROUP,no,2022-07-01 to 2022-12-31,,,,76.16%,,76.16%
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,2022-07-01 to 2022-12-31,,,,67.94%,,67.94%
Assurant General Insurance Limited,ASSURANT INC,no,2022-07-01 to 2022-12-31,,,,28.96%,,28.96%
Astrenska Insurance Limited,COLLINSON GROUP,no,2022-05-01 to 2022-10-31,,,,62.97%,,62.97%
Asurion Europe Limited,ASURION,no,2022-07-01 to 2022-12-31,,,,60.81%,,60.81%
ATLANTA 1 INSURANCE SERVICES LIMITED,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,33.79%,,33.79%
Atlanta Insurance Intermediaries Limited,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,34.50%,,34.50%
Atom Bank PLC,NO GROUP,no,2022-04-01 to 2022-09-30,55.59%,,65.71%,,,58.97%
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,2022-02-01 to 2022-07-31,,,,69.75%,,69.75%
Avantia Insurance Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,5.03%,,5.03%
Aviva Health UK Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,,,45.95%,,45.95%
Aviva Insurance Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,,,55.93%,,55.93%
Aviva Life Services UK Limited,AVIVA PLC,no,2022-07-01 to 2022-12-31,,60.98%,61.99%,60.51%,67.95%,61.72%
AWP Assistance UK Ltd,ALLIANZ SE,yes,2022-07-01 to 2022-12-31,,,,65.33%,,65.33%
AXA Insurance Designated Activity Company,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,7.53%,,7.53%
AXA Insurance UK Plc,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,39.82%,,39.82%
AXA PPP Healthcare Limited,AXA GROUP,no,2022-07-01 to 2022-12-31,,,,19.47%,,19.47%
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,yes,2022-07-01 to 2022-12-31,57.34%,,75.13%,90.00%,,60.24%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,38.27%,54.55%,46.05%,42.56%,65.30%,39.73%
Barbon Insurance Group Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,54.62%,,54.62%
Barclays Bank Plc,BARCLAYS PLC,no,2022-07-01 to 2022-12-31,25.13%,,50.00%,,53.33%,25.25%
Barclays Bank UK PLC,BARCLAYS PLC,yes,2022-07-01 to 2022-12-31,36.96%,30.00%,47.15%,26.54%,26.79%,37.94%
Bennetts Motorcycling Services Limited,LUCIDA GROUP,no,2022-07-01 to 2022-12-31,,,,57.43%,,57.43%
BISL Limited,BGL GROUP,no,2022-07-01 to 2022-12-31,,,,56.01%,,56.01%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,2022-07-01 to 2022-12-31,,,70.00%,65.56%,,66.00%
BMW Financial Services(GB) Limited,BMW GROUP,no,2022-07-01 to 2022-12-31,,,,,,0.00%
Bradford & Bingley Limited,UK ASSET RESOLUTION LIMITED,yes,2022-04-01 to 2022-09-30,,20.00%,93.68%,66.67%,82.22%,90.57%
Brightside Insurance Services Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,55.21%,,55.21%
British Gas Insurance Limited,CENTRICA PLC,no,2022-07-01 to 2022-12-31,,,,35.31%,,35.31%
British Gas Services Limited,CENTRICA PLC,no,2022-07-01 to 2022-12-31,,,,21.57%,,21.57%
BUPA Insurance Services Limited,BUPA GROUP,yes,2022-07-01 to 2022-12-31,,,,56.46%,,56.46%
Cabot Credit Management Group Limited,NO GROUP,no,2022-07-01 to 2022-12-31,76.70%,,76.60%,,,76.69%
Call Assist Ltd,CALL ASSIST LIMITED,no,2022-05-01 to 2022-10-31,,,,61.27%,,61.27%
Canada Life Limited,GREAT-WEST-LIFECO,yes,2022-07-01 to 2022-12-31,,54.51%,,61.36%,76.67%,58.09%
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,no,2022-07-01 to 2022-12-31,73.43%,,,33.33%,,73.03%
Car Care Plan Ltd,AMTRUST FINANCIAL SERVICES INC,yes,2022-07-01 to 2022-12-31,,,,83.61%,,83.61%
Carfinance247 Limited,NO GROUP,no,2022-07-01 to 2022-12-31,,,,77.78%,,77.78%
Carole Nash Insurance Consultants Ltd,ATLANTA GROUP / ARDONAGH GROUP,no,2022-07-01 to 2022-12-31,,,,40.81%,,40.81%
Cater Allen Limited,SANTANDER UK GROUP,no,2022-07-01 to 2022-12-31,65.30%,,,,,65.30%
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,no,2022-07-01 to 2022-12-31,74.65%,,77.04%,,,76.03%
Citibank UK Limited,CITIGROUP INC,no,2022-07-01 to 2022-12-31,21.29%,,,100.00%,72.06%,21.64%
ClearBank Limited,NO GROUP,no,2022-07-01 to 2022-12-31,82.84%,,,,,82.84%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,2022-02-01 to 2022-07-31,55.74%,,,88.24%,,58.50%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,2022-04-01 to 2022-09-30,17.44%,,38.84%,22.73%,28.57%,18.51%
Cofunds Limited,AEGON N.V.,no,2022-07-01 to 2022-12-31,,20.00%,,,31.35%,30.69%
Columbia Threadneedle Management Limited,AMERIPRISE FINANCIAL,no,2022-07-01 to 2022-12-31,,,,,65.19%,65.19%
Connells Limited,SKIPTON BUILDING SOCIETY,no,2022-07-01 to 2022-12-31,,,72.92%,65.75%,,72.16%
Corgi Homeplan Ltd,OVO GROUP,no,2022-07-01 to 2022-12-31,,,,74.70%,,74.70%
Coutts & Company,NATWEST GROUP,no,2022-07-01 to 2022-12-31,89.54%,20.00%,67.88%,100.00%,56.06%,86.88%
Covea Insurance plc,COVEA GROUP,yes,2022-07-01 to 2022-12-31,,,,76.04%,,76.04%
